Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00070,0.0044146683,0.004743335,3.2866668E-4,7.8583334E-4,0,4.5755555E-4,1.2888887E-4
ID00044,0.0042857793,0.0046080016,3.2222221E-4,7.6666666E-4,1,4.4466666E-4,1.2244444E-4
ID00085,0.004163335,0.0044404464,2.771111E-4,6.5805553E-4,2,3.8344445E-4,1.0633335E-4
ID00057,0.004057002,0.004334113,2.771111E-4,6.644444E-4,3,3.8666665E-4,1.0955555E-4
ID00002,0.003947446,0.004197168,2.4972222E-4,5.9416663E-4,4,2.4972222E-4,0.0
ID00022,0.003947446,0.0041262796,1.7883333E-4,4.2805556E-4,5,1.7883333E-4,0.0
ID00011,0.003947446,0.004147224,1.9977777E-4,4.7277776E-4,6,1.9977777E-4,0.0
ID00033,0.003947446,0.0040827794,1.3533334E-4,3.2583333E-4,7,1.3533334E-4,0.0
ID00088,0.003947446,0.004050557,1.0311111E-4,2.4916665E-4,2,1.45E-4,4.188889E-5
ID00090,0.0039055573,0.0040086685,1.0311111E-4,2.4916665E-4,7,1.0311111E-4,0.0
ID00051,0.0039055573,0.004003835,9.827778E-5,2.3638888E-4,1,1.3533334E-4,3.7055557E-5
ID00086,0.0038685019,0.0039651687,9.666666E-5,2.2999999E-4,5,9.666666E-5,0.0
ID00064,0.0038685019,0.0039635575,9.5055555E-5,2.236111E-4,3,1.321111E-4,3.705555E-5
ID00083,0.0038314464,0.003926502,9.5055555E-5,2.236111E-4,0,1.321111E-4,3.705555E-5
ID00096,0.003794391,0.0038862242,9.183333E-5,2.236111E-4,2,1.2888889E-4,3.7055557E-5
ID00092,0.0037573355,0.0038475576,9.0222224E-5,2.1722222E-4,8,9.0222224E-5,0.0
ID00029,0.0037573355,0.0038475576,9.0222224E-5,2.1722222E-4,9,9.0222224E-5,0.0
ID00003,0.0037573355,0.0038459466,8.861111E-5,2.1083333E-4,10,1.2566666E-4,3.705555E-5
ID00005,0.00372028,0.0038088912,8.861111E-5,2.1083333E-4,11,1.2244444E-4,3.3833334E-5
ID00079,0.0036864467,0.0037718355,8.5388885E-5,2.0444444E-4,6,8.5388885E-5,0.0
ID00066,0.0036864467,0.0037718355,8.5388885E-5,2.0444444E-4,3,1.1922222E-4,3.3833334E-5
ID00077,0.0036526134,0.0037363912,8.377778E-5,2.0444444E-4,12,8.377778E-5,0.0
ID00009,0.0036526134,0.0037363912,8.377778E-5,2.0444444E-4,13,1.15999996E-4,3.222222E-5
ID00062,0.0036203912,0.0037009467,8.0555554E-5,1.9166667E-4,14,8.0555554E-5,0.0
ID00098,0.0036203912,0.0037009467,8.0555554E-5,1.9166667E-4,15,8.0555554E-5,0.0
ID00007,0.0036203912,0.0036993357,7.8944446E-5,1.9166667E-4,4,7.8944446E-5,0.0
ID00094,0.0036203912,0.0036993357,7.8944446E-5,1.9166667E-4,16,7.8944446E-5,0.0
ID00073,0.0036203912,0.0036945024,7.411111E-5,1.7888889E-4,17,7.411111E-5,0.0
ID00023,0.0036203912,0.0036928912,7.25E-5,1.725E-4,18,7.25E-5,0.0
ID00031,0.0036203912,0.003689669,6.9277776E-5,1.661111E-4,19,6.9277776E-5,0.0
ID00025,0.0036203912,0.003689669,6.9277776E-5,1.661111E-4,20,6.9277776E-5,0.0
ID00075,0.0036203912,0.003689669,6.9277776E-5,1.661111E-4,21,6.9277776E-5,0.0
ID00053,0.0036203912,0.0036864467,6.605555E-5,1.5972221E-4,22,6.605555E-5,0.0
ID00020,0.0036203912,0.0036864467,6.605555E-5,1.5972221E-4,23,6.605555E-5,0.0
ID00060,0.0036203912,0.0036864467,6.605555E-5,1.5972221E-4,24,6.605555E-5,0.0
ID00034,0.0036203912,0.0036848357,6.4444444E-5,1.5333333E-4,25,6.4444444E-5,0.0
ID00036,0.0036203912,0.0036832246,6.283333E-5,1.5333333E-4,26,6.283333E-5,0.0
ID00038,0.0036203912,0.0036848357,6.4444444E-5,1.5333333E-4,27,6.4444444E-5,0.0
ID00049,0.0036203912,0.0036832246,6.283333E-5,1.4694444E-4,25,6.283333E-5,0.0
