Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00000,0.023661036,0.023828592,1.6755555E-4,4.0249998E-4,0,2.3199999E-4,6.444444E-5
ID00005,0.023596592,0.023615927,1.9333333E-5,5.111111E-5,0,2.8999999E-5,9.666666E-6
ID00010,0.023586925,0.023596592,9.666666E-6,2.5555555E-5,0,1.2888889E-5,3.2222224E-6
ID00015,0.023583703,0.02359337,9.666666E-6,2.5555555E-5,0,1.2888889E-5,3.2222224E-6
ID00020,0.02358048,0.030126425,0.006545944,0.015576111,0,0.009064111,0.0025181668
ID00004,0.021062315,0.021078426,1.6111111E-5,3.833333E-5,1,1.6111111E-5,0.0
ID00009,0.021062315,0.02106876,6.4444444E-6,1.2777778E-5,1,6.4444444E-6,0.0
ID00014,0.021062315,0.02107037,8.055556E-6,1.9166666E-5,1,8.055556E-6,0.0
ID00019,0.021062315,0.02690098,0.0058386666,0.013889444,2,0.008084555,0.0022458886
ID00002,0.018816426,0.018830927,1.4499999E-5,3.1944444E-5,3,1.4499999E-5,0.0
ID00007,0.018816426,0.018822871,6.4444444E-6,1.9166666E-5,3,6.4444444E-6,0.0
ID00012,0.018816426,0.018826094,9.666666E-6,2.5555555E-5,3,9.666666E-6,0.0
ID00017,0.018816426,0.023967149,0.0051507223,0.012253889,4,0.0071307775,0.0019800551
ID00001,0.016836371,0.01684926,1.2888889E-5,3.1944444E-5,5,1.2888889E-5,0.0
ID00006,0.016836371,0.016841205,4.833333E-6,1.2777778E-5,5,4.833333E-6,0.0
ID00011,0.016836371,0.016844427,8.055556E-6,1.9166666E-5,5,8.055556E-6,0.0
ID00016,0.016836371,0.021397427,0.0045610555,0.010854722,5,0.0045610555,0.0
ID00003,0.016836371,0.016850872,1.4499999E-5,3.1944444E-5,6,1.4499999E-5,0.0
ID00008,0.016836371,0.016842816,6.4444444E-6,1.2777778E-5,6,6.4444444E-6,0.0
ID00013,0.016836371,0.016844427,8.055556E-6,1.9166666E-5,6,8.055556E-6,0.0
ID00018,0.016836371,0.020744927,0.0039085555,0.009302222,6,0.0039085555,0.0
ID00021,0.016836371,0.01686537,2.8999999E-5,7.0277776E-5,0,3.8666665E-5,9.666666E-6
ID00022,0.016826704,0.016828315,1.6111111E-6,6.388889E-6,0,3.2222222E-6,1.6111111E-6
ID00023,0.016825093,0.019041982,0.0022168888,0.005277222,0,0.0030707777,8.538889E-4
