Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00144,0.23259503,0.23821941,0.005624389,0.013384722,0,0.007788111,0.0021637222
ID00507,0.2304313,0.23570447,0.0052731666,0.012547778,1,0.0073015555,0.002028389
ID00050,0.22840291,0.2329108,0.004507889,0.010726945,2,0.0062414445,0.0017335555
ID00867,0.22666936,0.23152685,0.0048575,0.0115575,3,0.006728,0.0018704999
ID00446,0.22479886,0.22981746,0.005018611,0.011940833,4,0.0069503332,0.0019317223
ID00021,0.22286713,0.22755063,0.0046835,0.011148611,5,0.0064863334,0.0018028333
ID00475,0.2210643,0.22603297,0.0049686665,0.0118258335,6,0.0068794442,0.0019107778
ID00839,0.21915352,0.22371458,0.0045610555,0.010854722,7,0.0063155554,0.0017545
ID00596,0.21739903,0.22122219,0.0038231667,0.009097777,8,0.0038231667,0.0
ID00807,0.21739903,0.22151703,0.004118,0.009800555,9,0.004118,0.0
ID00655,0.21739903,0.22114003,0.0037409998,0.008899722,10,0.0037409998,0.0
ID00749,0.21739903,0.2211642,0.0037651665,0.008957222,11,0.0037651665,0.0
ID00047,0.21739903,0.22035381,0.0029547778,0.0070341667,12,0.0029547778,0.0
ID00687,0.21739903,0.22122543,0.0038263889,0.009104166,13,0.0038263889,0.0
ID00294,0.21739903,0.2209902,0.0035911666,0.008548333,14,0.0035911666,0.0
ID00929,0.21739903,0.22044887,0.0030498332,0.0072577777,15,0.0030498332,0.0
ID00899,0.21739903,0.22038925,0.002990222,0.007117222,16,0.002990222,0.0
ID00536,0.21739903,0.2208178,0.0034187778,0.0081394445,17,0.0034187778,0.0
ID00779,0.21739903,0.22074692,0.0033478888,0.007966944,18,0.0033478888,0.0
ID00170,0.21739903,0.22019592,0.0027968888,0.0066572223,19,0.0027968888,0.0
ID00113,0.21739903,0.22042952,0.0030305,0.0072130556,20,0.0030305,0.0
ID00776,0.21739903,0.22065508,0.0032560555,0.007749722,21,0.0032560555,0.0
ID00323,0.21739903,0.22024426,0.0028452221,0.006772222,22,0.0028452221,0.0
ID00628,0.21739903,0.22027004,0.002871,0.006836111,23,0.002871,0.0
ID00262,0.21739903,0.22044565,0.003046611,0.007251389,24,0.003046611,0.0
ID00443,0.21739903,0.22037153,0.0029725,0.0070725,25,0.0029725,0.0
ID00804,0.21739903,0.2206583,0.0032592777,0.0077561107,26,0.0032592777,0.0
ID00173,0.21739903,0.21996875,0.0025697222,0.0061141667,27,0.0025697222,0.0
ID00354,0.21739903,0.2205391,0.0031400556,0.007475,28,0.0031400556,0.0
ID00625,0.21739903,0.21999453,0.0025954999,0.0061780554,29,0.0025954999,0.0
ID00926,0.21739903,0.21978992,0.0023908888,0.005686111,30,0.0023908888,0.0
ID00504,0.21739903,0.22011536,0.0027163334,0.0064655556,31,0.0027163334,0.0
ID00201,0.21739903,0.22025391,0.0028548888,0.0067913886,32,0.0028548888,0.0
ID00719,0.21739903,0.22033931,0.0029402778,0.006995833,33,0.0029402778,0.0
ID00018,0.21739903,0.21985759,0.0024585556,0.005852222,34,0.0024585556,0.0
ID00351,0.21739903,0.22031514,0.0029161111,0.006938333,35,0.0029161111,0.0
ID00235,0.21739903,0.22032642,0.0029273888,0.0069638886,36,0.0029273888,0.0
ID00415,0.21739903,0.2200332,0.0026341667,0.0062675,37,0.0026341667,0.0
ID00746,0.21739903,0.2200783,0.0026792777,0.006376111,38,0.0026792777,0.0
ID00960,0.21739903,0.21978186,0.0023828333,0.005673333,39,0.0023828333,0.0
ID00864,0.21739903,0.21965137,0.0022523333,0.005360278,40,0.0022523333,0.0
ID00412,0.21739903,0.21974643,0.0023473888,0.005583889,41,0.0023473888,0.0
ID00684,0.21739903,0.22002837,0.0026293334,0.006254722,42,0.0026293334,0.0
ID00716,0.21739903,0.21986403,0.002465,0.0058649997,43,0.002465,0.0
ID00472,0.21739903,0.21963686,0.0022378333,0.0053283335,44,0.0022378333,0.0
ID00836,0.21739903,0.21950153,0.0021025,0.0050025,45,0.0021025,0.0
ID00232,0.21739903,0.21977058,0.0023715554,0.0056413887,46,0.0023715554,0.0
ID00385,0.21739903,0.21936297,0.0019639444,0.0046702777,47,0.0019639444,0.0
ID00320,0.21739903,0.21919703,0.001798,0.0042805555,48,0.001798,0.0
ID00110,0.21739903,0.21923892,0.0018398889,0.0043827775,49,0.0018398889,0.0
ID00082,0.21739903,0.21973193,0.0023328888,0.0055519445,50,0.0023328888,0.0
ID00382,0.21739903,0.21903108,0.0016320555,0.0038844445,51,0.0016320555,0.0
ID00896,0.21739903,0.21880715,0.0014081111,0.0033541666,52,0.0014081111,0.0
ID00593,0.21739903,0.21882325,0.0014242223,0.0033924999,53,0.0014242223,0.0
ID00564,0.21739903,0.21937425,0.0019752223,0.004702222,54,0.0019752223,0.0
ID00141,0.21739903,0.21878459,0.0013855555,0.0032966665,55,0.0013855555,0.0
ID00957,0.21739903,0.21863154,0.0012325,0.0029324999,56,0.0012325,0.0
ID00561,0.21739903,0.21907136,0.0016723333,0.0039802776,57,0.0016723333,0.0
ID00533,0.21739903,0.21885225,0.0014532222,0.0034627777,58,0.0014532222,0.0
ID00259,0.21739903,0.21861865,0.0012196111,0.0029069444,59,0.0012196111,0.0
ID00652,0.21739903,0.21858642,0.0011873889,0.0028302777,60,0.0011873889,0.0
ID00198,0.21739903,0.21862186,0.0012228333,0.0029069444,61,0.0012228333,0.0
ID00291,0.21739903,0.21851553,0.0011165,0.0026577776,62,0.0011165,0.0
ID00079,0.21739903,0.2186702,0.0012711666,0.0030283332,63,0.0012711666,0.0
ID00049,0.21739903,0.2174812,8.216667E-5,1.9805555E-4,64,8.216667E-5,0.0
ID00048,0.21739903,0.21744414,4.5111112E-5,1.0861111E-4,65,4.5111112E-5,0.0
ID00051,0.21739903,0.21824647,8.474444E-4,0.002018889,2,0.001176111,3.2866665E-4
