Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00221,0.0,5.3447776E-4,2.916111E-4,6.963889E-4,1,4.06E-4,1.2847775E-4
ID00735,1.2847775E-4,3.4821112E-4,1.9011111E-4,4.536111E-4,3,2.642222E-4,8.398891E-5
ID00472,8.398891E-5,3.187667E-4,1.74E-4,4.1527778E-4,5,2.4166667E-4,7.710002E-5
ID00002,7.710002E-5,2.9444444E-4,1.6111111E-4,3.8333333E-4,7,2.2233333E-4,7.2111114E-5
ID00232,7.2111114E-5,1.9586667E-4,1.0633333E-4,2.5555555E-4,1,1.4822221E-4,4.7644455E-5
ID00511,4.7644455E-5,1.9586667E-4,1.0633333E-4,2.5555555E-4,5,1.4822221E-4,4.7644455E-5
ID00362,4.7644455E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,3,1.45E-4,4.6388886E-5
ID00914,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,7,1.45E-4,4.6388886E-5
ID00061,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,7,1.45E-4,4.6388886E-5
ID00928,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,11,1.45E-4,4.6388886E-5
ID00021,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,13,1.45E-4,4.6388886E-5
ID00314,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,5,1.45E-4,4.6388886E-5
ID00505,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,16,1.45E-4,4.6388886E-5
ID00420,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,16,1.45E-4,4.6388886E-5
ID00111,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,19,1.45E-4,4.6388886E-5
ID00768,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,21,1.45E-4,4.6388886E-5
ID00406,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,13,1.45E-4,4.6388886E-5
ID00370,4.6388886E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,19,1.45E-4,4.574444E-5
ID00187,4.574444E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,25,1.45E-4,4.574444E-5
ID00748,4.574444E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,27,1.45E-4,4.574444E-5
ID00115,4.574444E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,29,1.45E-4,4.574444E-5
ID00163,4.574444E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,31,1.45E-4,4.574444E-5
ID00725,4.574444E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,33,1.45E-4,4.574444E-5
ID00344,4.574444E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,29,1.4177778E-4,4.8966656E-5
ID00123,4.8966656E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,36,1.4177778E-4,4.8966656E-5
ID00464,4.8966656E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,31,1.4177778E-4,4.8966656E-5
ID00386,4.8966656E-5,1.9074444E-4,1.0311111E-4,2.4916665E-4,33,1.4177778E-4,4.8966656E-5
ID00559,4.8966656E-5,1.8691111E-4,1.0311111E-4,2.4277778E-4,40,1.4177778E-4,4.5133333E-5
ID00848,4.5133333E-5,1.8691111E-4,1.0311111E-4,2.4277778E-4,42,1.4177778E-4,4.5133333E-5
ID00796,4.5133333E-5,1.8691111E-4,1.0311111E-4,2.4277778E-4,44,1.4177778E-4,4.5133333E-5
ID00224,4.5133333E-5,1.8691111E-4,1.0311111E-4,2.4277778E-4,25,1.4177778E-4,4.5133333E-5
ID00396,4.5133333E-5,1.8626667E-4,1.015E-4,2.4277778E-4,36,1.4177778E-4,4.4488886E-5
ID00219,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,48,1.4177778E-4,4.4488886E-5
ID00298,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,48,1.4177778E-4,4.4488886E-5
ID00153,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,51,1.4177778E-4,4.4488886E-5
ID00501,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,53,1.4177778E-4,4.4488886E-5
ID00571,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,55,1.4177778E-4,4.4488886E-5
ID00669,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,57,1.4177778E-4,4.4488886E-5
ID00677,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,59,1.4177778E-4,4.4488886E-5
ID00579,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,61,1.4177778E-4,4.4488886E-5
ID00954,4.4488886E-5,1.8626667E-4,1.015E-4,2.4277778E-4,63,1.3855555E-4,4.7711117E-5
ID00450,4.7711117E-5,1.8562222E-4,9.9888886E-5,2.4277778E-4,59,1.3855555E-4,4.706667E-5
ID00276,4.706667E-5,1.8562222E-4,9.9888886E-5,2.4277778E-4,61,1.3855555E-4,4.706667E-5
ID00709,4.706667E-5,1.8562222E-4,9.9888886E-5,2.4277778E-4,67,1.3855555E-4,4.706667E-5
ID00509,4.706667E-5,1.8562222E-4,9.9888886E-5,2.4277778E-4,69,1.3855555E-4,4.706667E-5
ID00350,4.706667E-5,1.8562222E-4,9.9888886E-5,2.4277778E-4,55,1.3855555E-4,4.706667E-5
ID00872,4.706667E-5,1.8562222E-4,9.9888886E-5,2.4277778E-4,72,1.3855555E-4,4.706667E-5
ID00378,4.706667E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,67,1.3855555E-4,4.3233333E-5
ID00577,4.3233333E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,75,1.3855555E-4,4.3233333E-5
ID00189,4.3233333E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,77,1.3855555E-4,4.3233333E-5
ID00489,4.3233333E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,79,1.3855555E-4,4.3233333E-5
ID00808,4.3233333E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,81,1.3855555E-4,4.3233333E-5
ID00466,4.3233333E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,79,1.3855555E-4,4.3233333E-5
ID00713,4.3233333E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,84,1.3855555E-4,4.3233333E-5
ID00790,4.3233333E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,86,1.3855555E-4,4.3233333E-5
ID00185,4.3233333E-5,1.8114444E-4,9.827778E-5,2.3638888E-4,88,1.3855555E-4,4.2588887E-5
