Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00001,0.0,8.385556E-5,4.672222E-5,1.0861111E-4,1,6.4444444E-5,1.9411113E-5
ID00010,1.9411113E-5,3.4566667E-5,1.9333333E-5,4.4722223E-5,1,2.5777777E-5,8.788889E-6
ID00020,8.788889E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,1,6.4444444E-6,2.5111108E-6
ID00030,2.5111108E-6,1.92E-5,9.666666E-6,2.5555555E-5,1,1.2888889E-5,6.311112E-6
ID00040,6.311112E-6,0.01769099,0.009679555,0.023031944,1,0.013401222,0.0042897677
ID00000,0.0042897677,1.325E-4,7.25E-5,1.725E-4,3,9.9888886E-5,3.261112E-5
ID00005,3.261112E-5,1.92E-5,9.666666E-6,2.5555555E-5,3,1.6111111E-5,3.0888896E-6
ID00015,3.0888896E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,3,6.4444444E-6,2.5111108E-6
ID00025,2.5111108E-6,1.0244445E-5,6.4444444E-6,1.2777778E-5,3,9.666666E-6,5.7777834E-7
ID00035,5.7777834E-7,0.013843367,0.007573833,0.018023055,3,0.010488333,0.0033550337
ID00002,0.0033550337,1.92E-5,9.666666E-6,2.5555555E-5,5,1.2888889E-5,6.311112E-6
ID00012,6.311112E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,5,3.2222222E-6,1.9000001E-6
ID00022,1.9000001E-6,1.4077777E-5,6.4444444E-6,1.9166666E-5,5,9.666666E-6,4.411111E-6
ID00032,4.411111E-6,0.013431144,0.0073482776,0.017486388,5,0.010175778,0.0032553663
ID00003,0.0032553663,3.4566667E-5,1.9333333E-5,4.4722223E-5,7,2.5777777E-5,8.788889E-6
ID00013,8.788889E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,10,3.2222222E-6,1.9333331E-6
ID00023,1.9333331E-6,9.6E-6,4.833333E-6,1.2777778E-5,10,4.833333E-6,4.766667E-6
ID00033,4.766667E-6,0.013219912,0.0072322777,0.017211666,10,0.0072322777,0.005987634
ID00006,0.005987634,1.4722222E-5,8.055556E-6,1.9166666E-5,12,9.666666E-6,5.0555554E-6
ID00016,5.0555554E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,15,3.2222222E-6,1.9333331E-6
ID00026,1.9333331E-6,1.0244445E-5,6.4444444E-6,1.2777778E-5,15,6.4444444E-6,3.8000003E-6
ID00036,3.8000003E-6,0.012572778,0.0068794442,0.016368333,15,0.0068794442,0.005693334
ID00008,0.005693334,2.88E-5,1.4499999E-5,3.833333E-5,17,2.2555556E-5,6.2444433E-6
ID00018,6.2444433E-6,9.6E-6,4.833333E-6,1.2777778E-5,17,6.4444444E-6,3.155556E-6
ID00028,3.155556E-6,9.6E-6,4.833333E-6,1.2777778E-5,17,6.4444444E-6,3.155556E-6
ID00038,3.155556E-6,0.011134478,0.006091611,0.014496389,17,0.008435777,0.0026987009
ID00004,0.0026987009,2.9444443E-5,1.6111111E-5,3.833333E-5,19,2.2555556E-5,6.8888876E-6
ID00014,6.8888876E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,19,6.4444444E-6,2.5111108E-6
ID00024,2.5111108E-6,1.4077777E-5,6.4444444E-6,1.9166666E-5,19,9.666666E-6,4.411111E-6
ID00034,4.411111E-6,0.010987256,0.0060110553,0.014304722,19,0.008323,0.002664256
ID00011,0.002664256,1.92E-5,9.666666E-6,2.5555555E-5,21,1.2888889E-5,6.311112E-6
ID00021,6.311112E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,21,6.4444444E-6,2.5111108E-6
ID00031,2.5111108E-6,1.92E-5,9.666666E-6,2.5555555E-5,21,1.2888889E-5,6.311112E-6
ID00041,6.311112E-6,0.008676511,0.0047479444,0.011295555,21,0.0065733334,0.0021031778
ID00007,0.0021031778,3.4566667E-5,1.9333333E-5,4.4722223E-5,23,2.5777777E-5,8.788889E-6
ID00017,8.788889E-6,9.6E-6,4.833333E-6,1.2777778E-5,23,6.4444444E-6,3.155556E-6
ID00027,3.155556E-6,9.6E-6,4.833333E-6,1.2777778E-5,26,4.833333E-6,4.766667E-6
ID00037,4.766667E-6,0.007955123,0.004353222,0.010356389,26,0.004353222,0.0036019008
ID00009,0.0036019008,2.88E-5,1.4499999E-5,3.833333E-5,28,2.2555556E-5,6.2444433E-6
ID00019,6.2444433E-6,9.6E-6,4.833333E-6,1.2777778E-5,28,6.4444444E-6,3.155556E-6
ID00029,3.155556E-6,9.6E-6,4.833333E-6,1.2777778E-5,28,6.4444444E-6,3.155556E-6
ID00039,3.155556E-6,0.0068407115,0.003742611,0.008906111,28,0.005181333,0.0016593784
ID00043,0.0016593784,4.8644444E-5,2.5777777E-5,6.388889E-5,1,3.5444446E-5,1.3199999E-5
ID00042,1.3199999E-5,3.968889E-5,2.2555556E-5,5.111111E-5,19,3.2222222E-5,7.4666677E-6
ID00044,7.4666677E-6,7.808889E-5,4.188889E-5,1.0222222E-4,1,5.7999998E-5,2.008889E-5
ID00045,2.008889E-5,4.4777776E-6,1.6111111E-6,6.388889E-6,1,3.2222222E-6,1.2555554E-6
ID00046,1.2555554E-6,0.004813522,0.0026325556,0.0062675,1,0.0036475556,0.0011659665
