Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00000,0.0,5.3766664E-5,2.8999999E-5,7.0277776E-5,1,4.188889E-5,1.1877775E-5
ID00007,1.1877775E-5,0.0019875,0.0010875,0.0025875,1,0.001508,4.7950016E-4
ID00002,4.7950016E-4,5.3766664E-5,2.8999999E-5,7.0277776E-5,3,4.188889E-5,1.1877775E-5
ID00009,1.1877775E-5,0.0017519444,9.586111E-4,0.0022808332,3,0.0013275555,4.243889E-4
ID00004,4.243889E-4,5.441111E-5,3.061111E-5,7.0277776E-5,5,4.188889E-5,1.2522221E-5
ID00003,1.2522221E-5,5.3766664E-5,2.8999999E-5,7.0277776E-5,7,4.188889E-5,1.1877775E-5
ID00011,1.1877775E-5,0.0015797555,8.635555E-4,0.0020572222,5,0.0011954444,3.8431108E-4
ID00010,3.8431108E-4,0.0015311111,8.3777774E-4,0.0019933332,7,0.00116,3.711111E-4
ID00001,3.711111E-4,5.3766664E-5,2.8999999E-5,7.0277776E-5,9,4.188889E-5,1.1877775E-5
ID00006,1.1877775E-5,5.441111E-5,3.061111E-5,7.0277776E-5,11,4.188889E-5,1.2522221E-5
ID00008,1.2522221E-5,0.0010350334,5.655E-4,0.0013480555,9,7.8299997E-4,2.520334E-4
ID00005,2.520334E-4,5.3766664E-5,2.8999999E-5,7.0277776E-5,13,4.188889E-5,1.1877775E-5
ID00013,1.1877775E-5,0.0010158333,5.5583334E-4,0.0013225,11,7.701111E-4,2.4572224E-4
ID00012,2.4572224E-4,9.812666E-4,5.365E-4,0.0012777777,13,7.411111E-4,2.401555E-4
ID00014,2.401555E-4,1.92E-5,9.666666E-6,2.5555555E-5,13,1.2888889E-5,6.311112E-6
ID00015,6.311112E-6,1.92E-5,9.666666E-6,2.5555555E-5,13,1.2888889E-5,6.311112E-6
ID00022,6.311112E-6,0.0018454001,0.0010101666,0.0024022222,13,0.0013984444,4.4695567E-4
ID00016,4.4695567E-4,1.92E-5,9.666666E-6,2.5555555E-5,7,1.2888889E-5,6.311112E-6
ID00023,6.311112E-6,0.0018057111,9.876111E-4,0.002351111,7,0.0013694444,4.3626665E-4
ID00020,4.3626665E-4,1.92E-5,9.666666E-6,2.5555555E-5,3,1.2888889E-5,6.311112E-6
ID00027,6.311112E-6,0.0015061444,8.2327775E-4,0.0019613889,3,0.0011406667,3.6547775E-4
ID00017,3.6547775E-4,1.4722222E-5,8.055556E-6,1.9166666E-5,11,1.2888889E-5,1.833333E-6
ID00024,1.833333E-6,0.0012360222,6.7505555E-4,0.0016099999,11,9.344444E-4,3.015778E-4
ID00021,3.015778E-4,1.92E-5,9.666666E-6,2.5555555E-5,5,1.2888889E-5,6.311112E-6
ID00028,6.311112E-6,0.0010792001,5.8966666E-4,0.0014055555,5,8.152222E-4,2.6397785E-4
ID00019,2.6397785E-4,1.4722222E-5,8.055556E-6,1.9166666E-5,1,1.2888889E-5,1.833333E-6
ID00026,1.833333E-6,9.025333E-4,4.9299997E-4,0.0011755555,1,6.831111E-4,2.1942222E-4
ID00018,2.1942222E-4,1.92E-5,9.666666E-6,2.5555555E-5,9,1.2888889E-5,6.311112E-6
ID00025,6.311112E-6,7.553111E-4,4.1244444E-4,9.838889E-4,9,5.7033333E-4,1.8497778E-4
ID00029,1.8497778E-4,1.4722222E-5,8.055556E-6,1.9166666E-5,13,1.2888889E-5,1.833333E-6
