Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00054,0.0,0.008249567,0.0045143333,0.010739722,1,0.006251111,0.0019984557
ID00089,0.0019984557,0.0064233663,0.0035138333,0.008363055,3,0.0048655556,0.0015578107
ID00023,0.0015578107,0.005761511,0.0031529444,0.0075005554,5,0.004366111,0.0013954001
ID00020,0.0013954001,0.0054619443,0.002988611,0.007110833,7,0.0041405554,0.0013213889
ID00086,0.0013213889,0.004181111,0.0022877778,0.005443333,9,0.0031674444,0.0010136669
ID00051,0.0010136669,0.0042841667,0.0023441666,0.0055775,11,0.003248,0.0010361667
ID00088,0.0010361667,1.6194445E-4,8.861111E-5,2.1083333E-4,13,1.2244444E-4,3.950001E-5
ID00087,3.950001E-5,7.2966664E-5,3.8666665E-5,9.583333E-5,15,5.4777778E-5,1.8188886E-5
ID00090,1.8188886E-5,0.0015413554,8.442222E-4,0.002006111,13,0.0011696666,3.7168874E-4
ID00022,3.7168874E-4,1.4722222E-4,8.0555554E-5,1.9166667E-4,17,1.1277778E-4,3.444444E-5
ID00021,3.444444E-5,1.1713333E-4,6.283333E-5,1.5333333E-4,19,8.7E-5,3.0133328E-5
ID00053,3.0133328E-5,1.8626667E-4,1.015E-4,2.4277778E-4,21,1.3855555E-4,4.7711117E-5
ID00024,4.7711117E-5,0.0013397222,7.330555E-4,0.0017441666,7,0.0010149999,3.2472226E-4
ID00052,3.2472226E-4,1.0241111E-4,5.4777778E-5,1.3416666E-4,23,7.733333E-5,2.5077781E-5
ID00055,2.5077781E-5,0.0010452778,5.7194446E-4,0.0013608333,21,7.9266663E-4,2.5261118E-4
ID00093,2.5261118E-4,0.0039301887,0.0021492222,0.0051174997,13,0.0029773333,9.5285545E-4
ID00058,9.5285545E-4,0.0038815443,0.0021234443,0.005053611,21,0.0029418888,9.396556E-4
ID00027,9.396556E-4,0.0036901557,0.0020187222,0.0048044445,7,0.0027936667,8.96489E-4
ID00091,8.96489E-4,8.955555E-6,3.2222222E-6,1.2777778E-5,13,6.4444444E-6,2.5111108E-6
ID00025,2.5111108E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,25,3.2222222E-6,1.9333331E-6
ID00056,1.9333331E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,21,3.2222222E-6,1.9000001E-6
ID00094,1.9000001E-6,9.7933334E-5,5.3166666E-5,1.2777778E-4,13,7.411111E-5,2.3822227E-5
ID00059,2.3822227E-5,9.7933334E-5,5.3166666E-5,1.2777778E-4,21,7.411111E-5,2.3822227E-5
ID00028,2.3822227E-5,9.7933334E-5,5.3166666E-5,1.2777778E-4,7,7.411111E-5,2.3822227E-5
