Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00221,0.031533256,0.03182487,2.916111E-4,6.963889E-4,0,4.06E-4,1.1438891E-4
ID00735,0.031418867,0.03160898,1.9011111E-4,4.536111E-4,1,1.9011111E-4,0.0
ID00472,0.031418867,0.03159287,1.74E-4,4.1527778E-4,2,1.74E-4,0.0
ID00002,0.031418867,0.03157998,1.6111111E-4,3.8333333E-4,3,1.6111111E-4,0.0
ID00232,0.031418867,0.031525202,1.0633333E-4,2.5555555E-4,0,1.4822221E-4,4.188888E-5
ID00511,0.03137698,0.031483315,1.0633333E-4,2.5555555E-4,2,1.0633333E-4,0.0
ID00362,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,3,1.0472222E-4,0.0
ID00914,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,1,1.0472222E-4,0.0
ID00061,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,4,1.0472222E-4,0.0
ID00928,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,5,1.0472222E-4,0.0
ID00021,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,6,1.0472222E-4,0.0
ID00314,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,7,1.0472222E-4,0.0
ID00505,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,8,1.0472222E-4,0.0
ID00420,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,9,1.0472222E-4,0.0
ID00111,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,10,1.0472222E-4,0.0
ID00768,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,11,1.0472222E-4,0.0
ID00406,0.03137698,0.031481702,1.0472222E-4,2.4916665E-4,12,1.0472222E-4,0.0
ID00370,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,13,1.0311111E-4,0.0
ID00187,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,14,1.0311111E-4,0.0
ID00748,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,15,1.0311111E-4,0.0
ID00115,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,16,1.0311111E-4,0.0
ID00163,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,17,1.0311111E-4,0.0
ID00725,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,18,1.0311111E-4,0.0
ID00344,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,19,1.0311111E-4,0.0
ID00123,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,20,1.0311111E-4,0.0
ID00464,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,21,1.0311111E-4,0.0
ID00386,0.03137698,0.031480093,1.0311111E-4,2.4916665E-4,22,1.0311111E-4,0.0
ID00559,0.03137698,0.031480093,1.0311111E-4,2.4277778E-4,23,1.0311111E-4,0.0
ID00848,0.03137698,0.031480093,1.0311111E-4,2.4277778E-4,24,1.0311111E-4,0.0
ID00796,0.03137698,0.031480093,1.0311111E-4,2.4277778E-4,25,1.0311111E-4,0.0
ID00224,0.03137698,0.031480093,1.0311111E-4,2.4277778E-4,26,1.0311111E-4,0.0
ID00396,0.03137698,0.03147848,1.015E-4,2.4277778E-4,27,1.015E-4,0.0
ID00219,0.03137698,0.03147848,1.015E-4,2.4277778E-4,28,1.015E-4,0.0
ID00298,0.03137698,0.03147848,1.015E-4,2.4277778E-4,29,1.015E-4,0.0
ID00153,0.03137698,0.03147848,1.015E-4,2.4277778E-4,30,1.015E-4,0.0
ID00501,0.03137698,0.03147848,1.015E-4,2.4277778E-4,31,1.015E-4,0.0
ID00571,0.03137698,0.03147848,1.015E-4,2.4277778E-4,32,1.015E-4,0.0
ID00669,0.03137698,0.03147848,1.015E-4,2.4277778E-4,33,1.015E-4,0.0
ID00677,0.03137698,0.03147848,1.015E-4,2.4277778E-4,34,1.015E-4,0.0
ID00579,0.03137698,0.03147848,1.015E-4,2.4277778E-4,35,1.015E-4,0.0
ID00954,0.03137698,0.03147848,1.015E-4,2.4277778E-4,36,1.015E-4,0.0
ID00450,0.03137698,0.03147687,9.9888886E-5,2.4277778E-4,37,9.9888886E-5,0.0
ID00276,0.03137698,0.03147687,9.9888886E-5,2.4277778E-4,38,9.9888886E-5,0.0
ID00709,0.03137698,0.03147687,9.9888886E-5,2.4277778E-4,39,9.9888886E-5,0.0
ID00509,0.03137698,0.03147687,9.9888886E-5,2.4277778E-4,40,9.9888886E-5,0.0
ID00350,0.03137698,0.03147687,9.9888886E-5,2.4277778E-4,41,9.9888886E-5,0.0
ID00872,0.03137698,0.03147687,9.9888886E-5,2.4277778E-4,42,9.9888886E-5,0.0
ID00378,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,43,9.9888886E-5,0.0
ID00577,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,44,9.9888886E-5,0.0
ID00189,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,45,9.9888886E-5,0.0
ID00489,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,46,9.9888886E-5,0.0
ID00808,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,47,9.9888886E-5,0.0
ID00466,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,48,9.9888886E-5,0.0
ID00713,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,49,9.9888886E-5,0.0
ID00790,0.03137698,0.03147687,9.9888886E-5,2.3638888E-4,50,9.9888886E-5,0.0
ID00185,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,51,9.827778E-5,0.0
ID00426,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,52,9.827778E-5,0.0
ID00635,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,53,9.827778E-5,0.0
ID00400,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,54,9.827778E-5,0.0
ID00238,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,55,9.827778E-5,0.0
ID00878,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,56,9.827778E-5,0.0
ID00766,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,57,9.827778E-5,0.0
ID00733,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,58,9.827778E-5,0.0
ID00631,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,59,9.827778E-5,0.0
ID00497,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,60,9.827778E-5,0.0
ID00818,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,61,9.827778E-5,0.0
ID00328,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,62,9.827778E-5,0.0
ID00613,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,63,9.827778E-5,0.0
ID00884,0.03137698,0.031475257,9.827778E-5,2.3638888E-4,64,9.827778E-5,0.0
ID00980,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,65,9.666666E-5,0.0
ID00348,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,66,9.666666E-5,0.0
ID00404,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,67,9.666666E-5,0.0
ID00695,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,68,9.666666E-5,0.0
ID00527,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,69,9.666666E-5,0.0
ID00475,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,70,9.666666E-5,0.0
ID00756,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,71,9.666666E-5,0.0
ID00354,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,72,9.666666E-5,0.0
ID00332,0.03137698,0.031473648,9.666666E-5,2.2999999E-4,73,9.666666E-5,0.0
ID00563,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,74,9.5055555E-5,0.0
ID00912,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,75,9.5055555E-5,0.0
ID00870,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,76,9.5055555E-5,0.0
ID00990,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,77,9.5055555E-5,0.0
ID00679,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,78,9.5055555E-5,0.0
ID00966,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,79,9.5055555E-5,0.0
ID00860,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,80,9.5055555E-5,0.0
ID00452,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,81,9.5055555E-5,0.0
ID00193,0.03137698,0.031472035,9.5055555E-5,2.2999999E-4,82,9.5055555E-5,0.0
ID00268,0.03137698,0.031472035,9.5055555E-5,2.236111E-4,83,9.5055555E-5,0.0
ID00077,0.03137698,0.031472035,9.5055555E-5,2.236111E-4,84,9.5055555E-5,0.0
ID00330,0.03137698,0.031472035,9.5055555E-5,2.236111E-4,85,9.5055555E-5,0.0
ID00438,0.03137698,0.031470425,9.344444E-5,2.236111E-4,86,9.344444E-5,0.0
ID00719,0.03137698,0.031470425,9.344444E-5,2.236111E-4,87,9.344444E-5,0.0
ID00926,0.03137698,0.031470425,9.344444E-5,2.236111E-4,88,9.344444E-5,0.0
ID00079,0.03137698,0.031470425,9.344444E-5,2.236111E-4,89,9.344444E-5,0.0
ID00962,0.03137698,0.031468812,9.183333E-5,2.236111E-4,90,9.183333E-5,0.0
ID00071,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,91,9.183333E-5,0.0
ID00031,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,92,9.183333E-5,0.0
ID00717,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,93,9.183333E-5,0.0
ID00025,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,94,9.183333E-5,0.0
ID00183,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,95,9.183333E-5,0.0
ID00517,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,96,9.183333E-5,0.0
ID00593,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,97,9.183333E-5,0.0
ID00862,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,98,9.183333E-5,0.0
ID00011,0.03137698,0.031468812,9.183333E-5,2.1722222E-4,99,9.183333E-5,0.0
ID00432,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,100,9.0222224E-5,0.0
ID00125,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,101,9.0222224E-5,0.0
ID00175,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,102,9.0222224E-5,0.0
ID00535,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,103,9.0222224E-5,0.0
ID00703,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,104,9.0222224E-5,0.0
ID00119,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,105,9.0222224E-5,0.0
ID00982,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,106,9.0222224E-5,0.0
ID00788,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,107,9.0222224E-5,0.0
ID00039,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,108,9.0222224E-5,0.0
ID00145,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,109,9.0222224E-5,0.0
ID00836,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,110,9.0222224E-5,0.0
ID00655,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,111,9.0222224E-5,0.0
ID00906,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,112,9.0222224E-5,0.0
ID00292,0.03137698,0.031467203,9.0222224E-5,2.1722222E-4,113,9.0222224E-5,0.0
ID00774,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,114,8.861111E-5,0.0
ID00960,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,115,8.861111E-5,0.0
ID00103,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,116,8.861111E-5,0.0
ID00521,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,117,8.861111E-5,0.0
ID00127,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,118,8.861111E-5,0.0
ID00388,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,119,8.861111E-5,0.0
ID00296,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,120,8.861111E-5,0.0
ID00603,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,121,8.861111E-5,0.0
ID00099,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,122,8.861111E-5,0.0
ID00101,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,123,8.861111E-5,0.0
ID00217,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,124,8.861111E-5,0.0
ID00826,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,125,8.861111E-5,0.0
ID00581,0.03137698,0.03146559,8.861111E-5,2.1083333E-4,126,8.861111E-5,0.0
ID00143,0.03137698,0.03146398,8.7E-5,2.1083333E-4,127,8.7E-5,0.0
ID00155,0.03137698,0.03146398,8.7E-5,2.1083333E-4,128,8.7E-5,0.0
ID00998,0.03137698,0.03146398,8.7E-5,2.1083333E-4,129,8.7E-5,0.0
ID00854,0.03137698,0.03146398,8.7E-5,2.1083333E-4,130,8.7E-5,0.0
ID00776,0.03137698,0.03146398,8.7E-5,2.1083333E-4,131,8.7E-5,0.0
ID00886,0.03137698,0.03146398,8.7E-5,2.1083333E-4,132,8.7E-5,0.0
ID00956,0.03137698,0.03146398,8.7E-5,2.1083333E-4,133,8.7E-5,0.0
ID00083,0.03137698,0.03146398,8.7E-5,2.0444444E-4,134,8.7E-5,0.0
ID00151,0.03137698,0.031462368,8.5388885E-5,2.0444444E-4,135,8.5388885E-5,0.0
ID00545,0.03137698,0.031462368,8.5388885E-5,2.0444444E-4,136,8.5388885E-5,0.0
