Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00016,0.02818623,0.02821684,3.061111E-5,7.666666E-5,0,4.188889E-5,1.1277778E-5
ID00039,0.028174952,0.029256007,0.0010810555,0.0025747223,0,0.0014983333,4.172778E-4
ID00002,0.027757674,0.027788285,3.061111E-5,7.0277776E-5,1,3.061111E-5,0.0
ID00019,0.027757674,0.027788285,3.061111E-5,7.666666E-5,2,3.061111E-5,0.0
ID00013,0.027757674,0.027786674,2.8999999E-5,7.0277776E-5,3,2.8999999E-5,0.0
ID00025,0.027757674,0.028667953,9.1027777E-4,0.0021658333,4,0.0012598889,3.496111E-4
ID00042,0.027408063,0.028299008,8.9094444E-4,0.0021211111,5,0.0012341111,3.431667E-4
ID00036,0.027064897,0.027946174,8.812778E-4,0.0020955554,6,0.0012212222,3.3994444E-4
ID00014,0.026724953,0.026757175,3.2222222E-5,7.666666E-5,7,3.2222222E-5,0.0
ID00037,0.026724953,0.027572397,8.474444E-4,0.002018889,8,0.001176111,3.2866665E-4
ID00007,0.026396286,0.026426896,3.061111E-5,7.666666E-5,9,3.061111E-5,0.0
ID00000,0.026396286,0.026425285,2.8999999E-5,7.0277776E-5,10,2.8999999E-5,0.0
ID00030,0.026396286,0.027174452,7.7816664E-4,0.0018527778,9,7.7816664E-4,0.0
ID00018,0.026396286,0.026425285,2.8999999E-5,7.0277776E-5,11,2.8999999E-5,0.0
ID00023,0.026396286,0.02715834,7.6205557E-4,0.0018144444,10,7.6205557E-4,0.0
ID00003,0.026396286,0.026426896,3.061111E-5,7.666666E-5,12,3.061111E-5,0.0
ID00041,0.026396286,0.027122896,7.266111E-4,0.0017313889,11,7.266111E-4,0.0
ID00020,0.026396286,0.026426896,3.061111E-5,7.666666E-5,13,3.061111E-5,0.0
ID00026,0.026396286,0.02711162,7.153333E-4,0.0017058334,12,7.153333E-4,0.0
ID00009,0.026396286,0.026426896,3.061111E-5,7.0277776E-5,14,3.061111E-5,0.0
ID00043,0.026396286,0.027275952,8.7966665E-4,0.0020955554,13,8.7966665E-4,0.0
ID00032,0.026396286,0.027082618,6.8633334E-4,0.0016355555,14,6.8633334E-4,0.0
ID00022,0.026396286,0.026426896,3.061111E-5,7.666666E-5,15,3.061111E-5,0.0
ID00045,0.026396286,0.02722923,8.329444E-4,0.0019869443,15,8.329444E-4,0.0
ID00015,0.026396286,0.026426896,3.061111E-5,7.666666E-5,16,3.061111E-5,0.0
ID00011,0.026396286,0.026425285,2.8999999E-5,7.0277776E-5,17,2.8999999E-5,0.0
ID00017,0.026396286,0.026426896,3.061111E-5,7.0277776E-5,18,3.061111E-5,0.0
