Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00020,0.015614366,0.02049281,0.0048784446,0.011608611,0,0.006757,0.0018785554
ID00050,0.01373581,0.017062755,0.0033269443,0.007915833,1,0.0033269443,0.0
ID00047,0.01373581,0.016651921,0.0029161111,0.006938333,2,0.0029161111,0.0
ID00017,0.01373581,0.015772255,0.0020364444,0.0048427777,3,0.0020364444,0.0
ID00019,0.01373581,0.01380831,7.25E-5,1.725E-4,4,7.25E-5,0.0
ID00018,0.01373581,0.013800255,6.4444444E-5,1.5333333E-4,5,6.4444444E-5,0.0
ID00049,0.01373581,0.013788977,5.3166666E-5,1.2777778E-4,6,5.3166666E-5,0.0
ID00048,0.01373581,0.013776088,4.0277777E-5,9.583333E-5,7,4.0277777E-5,0.0
ID00051,0.01373581,0.014066088,3.3027778E-4,7.8583334E-4,1,3.3027778E-4,0.0
ID00021,0.01373581,0.014222366,4.8655554E-4,0.0011563889,0,6.734444E-4,1.8688888E-4
ID00054,0.013548922,0.015818978,0.0022700555,0.005405,8,0.003144889,8.7483344E-4
ID00024,0.012674089,0.014783033,0.0021089443,0.0050216666,0,0.0029193333,8.1038894E-4
ID00022,0.011863699,0.011866922,3.2222222E-6,6.388889E-6,0,3.2222222E-6,0.0
ID00052,0.011863699,0.011866922,3.2222222E-6,6.388889E-6,1,3.2222222E-6,0.0
ID00055,0.011863699,0.011916866,5.3166666E-5,1.2777778E-4,1,5.3166666E-5,0.0
ID00025,0.011863699,0.011916866,5.3166666E-5,1.2777778E-4,0,7.411111E-5,2.094444E-5
ID00056,0.011842755,0.011854032,1.1277778E-5,2.5555555E-5,1,1.1277778E-5,0.0
ID00026,0.011842755,0.011854032,1.1277778E-5,2.5555555E-5,0,1.6111111E-5,4.833333E-6
ID00053,0.011837921,0.011847588,9.666666E-6,2.5555555E-5,1,9.666666E-6,0.0
ID00023,0.011837921,0.011845977,8.055556E-6,1.9166666E-5,0,1.2888889E-5,4.833333E-6
ID00036,0.011833088,0.01183631,3.2222222E-6,1.2777778E-5,9,3.2222222E-6,0.0
ID00038,0.011833088,0.01183631,3.2222222E-6,1.2777778E-5,10,3.2222222E-6,0.0
ID00003,0.011833088,0.01183631,3.2222222E-6,1.2777778E-5,11,3.2222222E-6,0.0
ID00037,0.011833088,0.01183631,3.2222222E-6,1.2777778E-5,12,3.2222222E-6,0.0
ID00011,0.011833088,0.01183631,3.2222222E-6,1.2777778E-5,13,3.2222222E-6,0.0
ID00040,0.011833088,0.01183631,3.2222222E-6,6.4444444E-6,14,3.2222222E-6,0.0
ID00015,0.011833088,0.01183631,3.2222222E-6,6.4444444E-6,15,3.2222222E-6,0.0
ID00032,0.011833088,0.01183631,3.2222222E-6,6.4444444E-6,16,3.2222222E-6,0.0
ID00033,0.011833088,0.01183631,3.2222222E-6,6.4444444E-6,17,3.2222222E-6,0.0
