Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00011,0.0,5.492E-4,2.9966666E-4,7.1555556E-4,1,4.1566667E-4,1.3353332E-4
ID00035,1.3353332E-4,3.6805557E-4,2.0138889E-4,4.7916666E-4,3,2.8033333E-4,8.7722234E-5
ID00022,8.7722234E-5,2.6947778E-4,1.4661111E-4,3.5138888E-4,5,2.03E-4,6.6477776E-5
ID00002,6.6477776E-5,2.1635556E-4,1.1922222E-4,2.811111E-4,7,1.6433334E-4,5.2022224E-5
ID00007,5.2022224E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,7,1.45E-4,4.6388886E-5
ID00033,4.6388886E-5,1.9138888E-4,1.0472222E-4,2.4916665E-4,5,1.45E-4,4.6388886E-5
ID00009,4.6388886E-5,1.8178888E-4,9.9888886E-5,2.3638888E-4,7,1.3855555E-4,4.3233333E-5
ID00003,4.3233333E-5,1.7666665E-4,9.666666E-5,2.2999999E-4,7,1.3533334E-4,4.133332E-5
ID00042,4.133332E-5,1.7154444E-4,9.344444E-5,2.236111E-4,3,1.321111E-4,3.9433333E-5
ID00016,3.9433333E-5,1.6642222E-4,9.0222224E-5,2.1722222E-4,1,1.2566666E-4,4.0755564E-5
ID00029,4.0755564E-5,1.6194445E-4,8.861111E-5,2.1083333E-4,5,1.2244444E-4,3.950001E-5
ID00018,3.950001E-5,1.517E-4,8.216667E-5,1.9805555E-4,3,1.15999996E-4,3.570001E-5
ID00012,3.570001E-5,1.4722222E-4,8.0555554E-5,1.9166667E-4,10,1.1277778E-4,3.444444E-5
ID00048,3.444444E-5,1.3762224E-4,7.572222E-5,1.7888889E-4,12,1.0311111E-4,3.4511126E-5
ID00044,3.4511126E-5,1.325E-4,7.25E-5,1.725E-4,14,9.9888886E-5,3.261112E-5
ID00038,3.261112E-5,1.3185556E-4,7.088889E-5,1.725E-4,16,9.9888886E-5,3.1966672E-5
ID00023,3.1966672E-5,1.2737777E-4,6.9277776E-5,1.661111E-4,5,9.666666E-5,3.071111E-5
ID00014,3.071111E-5,1.229E-4,6.766667E-5,1.5972221E-4,12,9.344444E-5,2.9455565E-5
ID00031,2.9455565E-5,1.2673333E-4,6.766667E-5,1.661111E-4,19,9.344444E-5,3.328889E-5
ID00046,3.328889E-5,1.17777774E-4,6.4444444E-5,1.5333333E-4,21,9.0222224E-5,2.755555E-5
ID00005,2.755555E-5,1.17777774E-4,6.4444444E-5,1.5333333E-4,23,9.0222224E-5,2.755555E-5
ID00027,2.755555E-5,1.17777774E-4,6.4444444E-5,1.5333333E-4,25,9.0222224E-5,2.755555E-5
ID00040,2.755555E-5,1.1265556E-4,6.122222E-5,1.4694444E-4,23,8.7E-5,2.5655558E-5
ID00020,2.5655558E-5,1.0817778E-4,5.961111E-5,1.4055555E-4,23,8.377778E-5,2.4400004E-5
ID00025,2.4400004E-5,8.833333E-5,4.833333E-5,1.14999995E-4,29,6.766667E-5,2.066666E-5
ID00036,2.066666E-5,6.913333E-5,3.8666665E-5,8.9444446E-5,3,5.4777778E-5,1.4355555E-5
ID00017,1.4355555E-5,5.1555553E-6,3.2222222E-6,6.4444444E-6,31,3.2222222E-6,1.9333331E-6
ID00021,1.9333331E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,33,3.2222222E-6,1.9333331E-6
ID00041,1.9333331E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,35,3.2222222E-6,1.9333331E-6
ID00019,1.9333331E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,3,3.2222222E-6,1.9000001E-6
ID00004,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,7,3.2222222E-6,1.9000001E-6
ID00028,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,25,3.2222222E-6,1.9000001E-6
ID00039,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,16,3.2222222E-6,1.9000001E-6
ID00043,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,3,3.2222222E-6,1.9000001E-6
ID00008,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,7,3.2222222E-6,1.9000001E-6
ID00030,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,5,3.2222222E-6,1.9000001E-6
ID00015,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,12,3.2222222E-6,1.9000001E-6
ID00047,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,21,3.2222222E-6,1.9000001E-6
ID00034,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,5,3.2222222E-6,1.9000001E-6
ID00045,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,14,3.2222222E-6,1.9000001E-6
ID00049,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,12,3.2222222E-6,1.9000001E-6
ID00024,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,5,3.2222222E-6,1.9000001E-6
