Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00000,0.0,3.085222E-4,1.6755555E-4,4.0249998E-4,1,2.3199999E-4,7.652221E-5
ID00005,7.652221E-5,3.84E-5,1.9333333E-5,5.111111E-5,1,2.8999999E-5,9.400002E-6
ID00010,9.400002E-6,1.92E-5,9.666666E-6,2.5555555E-5,1,1.2888889E-5,6.311112E-6
ID00015,6.311112E-6,1.92E-5,9.666666E-6,2.5555555E-5,1,1.2888889E-5,6.311112E-6
ID00020,6.311112E-6,0.0119640445,0.006545944,0.015576111,1,0.009064111,0.0028999336
ID00004,0.0028999336,2.9444443E-5,1.6111111E-5,3.833333E-5,3,2.2555556E-5,6.8888876E-6
ID00009,6.8888876E-6,1.0244445E-5,6.4444444E-6,1.2777778E-5,3,9.666666E-6,5.7777834E-7
ID00014,5.7777834E-7,1.4722222E-5,8.055556E-6,1.9166666E-5,3,1.2888889E-5,1.833333E-6
ID00019,1.833333E-6,0.010669133,0.0058386666,0.013889444,3,0.008084555,0.0025845775
ID00002,0.0025845775,2.4966666E-5,1.4499999E-5,3.1944444E-5,5,1.9333333E-5,5.633334E-6
ID00007,5.633334E-6,1.4077777E-5,6.4444444E-6,1.9166666E-5,5,9.666666E-6,4.411111E-6
ID00012,4.411111E-6,1.92E-5,9.666666E-6,2.5555555E-5,5,1.6111111E-5,3.0888896E-6
ID00017,3.0888896E-6,0.009412622,0.0051507223,0.012253889,5,0.0071307775,0.0022818446
ID00001,0.0022818446,2.4322222E-5,1.2888889E-5,3.1944444E-5,7,1.6111111E-5,8.211111E-6
ID00006,8.211111E-6,9.6E-6,4.833333E-6,1.2777778E-5,7,6.4444444E-6,3.155556E-6
ID00011,3.155556E-6,1.4722222E-5,8.055556E-6,1.9166666E-5,7,9.666666E-6,5.0555554E-6
ID00016,5.0555554E-6,0.008337256,0.0045610555,0.010854722,7,0.0063155554,0.0020217001
ID00003,0.0020217001,2.4966666E-5,1.4499999E-5,3.1944444E-5,9,1.9333333E-5,5.633334E-6
ID00008,5.633334E-6,1.0244445E-5,6.4444444E-6,1.2777778E-5,9,9.666666E-6,5.7777834E-7
ID00013,5.7777834E-7,1.4722222E-5,8.055556E-6,1.9166666E-5,9,9.666666E-6,5.0555554E-6
ID00018,5.0555554E-6,0.0071447557,0.0039085555,0.009302222,9,0.0054133334,0.0017314223
ID00021,0.0017314223,5.3766664E-5,2.8999999E-5,7.0277776E-5,1,3.8666665E-5,1.5099999E-5
ID00022,1.5099999E-5,4.4777776E-6,1.6111111E-6,6.388889E-6,1,3.2222222E-6,1.2555554E-6
ID00023,1.2555554E-6,0.004053089,0.0022168888,0.005277222,1,0.0030707777,9.823111E-4
