Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00005,0.0,5.441111E-5,3.061111E-5,7.0277776E-5,1,4.188889E-5,1.2522221E-5
ID00017,1.2522221E-5,0.0020316667,0.0011116667,0.002645,1,0.0015402222,4.914445E-4
ID00006,4.914445E-4,5.441111E-5,3.061111E-5,7.0277776E-5,3,4.188889E-5,1.2522221E-5
ID00018,1.2522221E-5,0.0019529334,0.0010681667,0.0025427777,3,0.001479,4.739334E-4
ID00004,4.739334E-4,5.441111E-5,3.061111E-5,7.0277776E-5,5,4.188889E-5,1.2522221E-5
ID00016,1.2522221E-5,0.0016533667,9.038333E-4,0.0021530555,5,0.0012502222,4.031445E-4
ID00007,4.031445E-4,5.3766664E-5,2.8999999E-5,7.0277776E-5,7,4.188889E-5,1.1877775E-5
ID00019,1.1877775E-5,0.0015996,8.748333E-4,0.0020827777,7,0.0012115556,3.880444E-4
ID00008,3.880444E-4,5.824444E-5,3.061111E-5,7.666666E-5,9,4.188889E-5,1.6355552E-5
ID00001,1.6355552E-5,5.441111E-5,3.061111E-5,7.0277776E-5,11,4.188889E-5,1.2522221E-5
ID00020,1.2522221E-5,0.0014619778,7.991111E-4,0.0019038889,9,0.0011052222,3.5675569E-4
ID00010,3.5675569E-4,5.441111E-5,3.061111E-5,7.0277776E-5,13,4.188889E-5,1.2522221E-5
ID00013,1.2522221E-5,0.0014235778,7.7977777E-4,0.0018527778,11,0.0010794444,3.4413335E-4
ID00022,3.4413335E-4,0.0013883666,7.588333E-4,0.0018080556,13,0.0010504444,3.3792213E-4
ID00011,3.3792213E-4,5.441111E-5,3.061111E-5,7.0277776E-5,15,4.188889E-5,1.2522221E-5
ID00023,1.2522221E-5,0.0012705888,6.943889E-4,0.0016547221,15,9.602222E-4,3.1036662E-4
ID00000,3.1036662E-4,5.441111E-5,3.061111E-5,7.0277776E-5,17,4.188889E-5,1.2522221E-5
ID00012,1.2522221E-5,0.0011137667,6.09E-4,0.0014502777,17,8.442222E-4,2.695445E-4
ID00003,2.695445E-4,5.824444E-5,3.061111E-5,7.666666E-5,19,4.188889E-5,1.6355552E-5
ID00002,1.6355552E-5,5.3766664E-5,2.8999999E-5,7.0277776E-5,21,4.188889E-5,1.1877775E-5
ID00015,1.1877775E-5,8.878111E-4,4.8494444E-4,0.0011563889,19,6.702222E-4,2.1758891E-4
ID00014,2.1758891E-4,8.436445E-4,4.6077778E-4,0.0010988889,21,6.3799997E-4,2.0564452E-4
ID00009,2.0564452E-4,5.824444E-5,3.061111E-5,7.666666E-5,23,4.5111112E-5,1.3133329E-5
ID00021,1.3133329E-5,7.2138885E-4,3.947222E-4,9.3916664E-4,23,5.4777774E-4,1.736111E-4
ID00024,1.736111E-4,1.92E-5,9.666666E-6,2.5555555E-5,9,1.2888889E-5,6.311112E-6
ID00025,6.311112E-6,1.92E-5,9.666666E-6,2.5555555E-5,9,1.2888889E-5,6.311112E-6
ID00037,6.311112E-6,0.0020265444,0.0011084444,0.002638611,9,0.001537,4.895445E-4
ID00032,4.895445E-4,1.92E-5,9.666666E-6,2.5555555E-5,13,1.2888889E-5,6.311112E-6
ID00044,6.311112E-6,0.0018934,0.0010343334,0.002466111,13,0.0014338889,4.5951107E-4
ID00028,4.5951107E-4,1.4722222E-5,8.055556E-6,1.9166666E-5,1,1.2888889E-5,1.833333E-6
ID00040,1.833333E-6,0.0018786778,0.0010262778,0.0024469444,1,0.001421,4.5767776E-4
ID00030,4.5767776E-4,1.4722222E-5,8.055556E-6,1.9166666E-5,21,1.2888889E-5,1.833333E-6
ID00042,1.833333E-6,0.0018159555,9.940555E-4,0.0023638888,21,0.0013758888,4.4006668E-4
ID00027,4.4006668E-4,1.4722222E-5,8.055556E-6,1.9166666E-5,17,1.2888889E-5,1.833333E-6
ID00039,1.833333E-6,0.0014575,7.9749996E-4,0.0018975,17,0.0011052222,3.522779E-4
ID00036,3.522779E-4,1.4722222E-5,8.055556E-6,1.9166666E-5,7,1.2888889E-5,1.833333E-6
ID00031,1.833333E-6,1.4722222E-5,8.055556E-6,1.9166666E-5,15,1.2888889E-5,1.833333E-6
ID00029,1.833333E-6,1.92E-5,9.666666E-6,2.5555555E-5,3,1.2888889E-5,6.311112E-6
