Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00020,0.0,0.008916545,0.0048784446,0.011608611,1,0.006757,0.0021595447
ID00050,0.0021595447,0.0060802777,0.0033269443,0.007915833,3,0.0046077776,0.0014725002
ID00047,0.0014725002,0.0053294445,0.0029161111,0.006938333,5,0.0040374445,0.0012920001
ID00017,0.0012920001,0.0037202444,0.0020364444,0.0048427777,7,0.0028194445,9.007999E-4
ID00019,9.007999E-4,1.325E-4,7.25E-5,1.725E-4,9,9.9888886E-5,3.261112E-5
ID00018,3.261112E-5,1.17777774E-4,6.4444444E-5,1.5333333E-4,11,9.0222224E-5,2.755555E-5
ID00049,2.755555E-5,9.7933334E-5,5.3166666E-5,1.2777778E-4,13,7.411111E-5,2.3822227E-5
ID00048,2.3822227E-5,7.361111E-5,4.0277777E-5,9.583333E-5,15,5.4777778E-5,1.8833332E-5
ID00051,1.8833332E-5,6.036111E-4,3.3027778E-4,7.8583334E-4,3,4.5755555E-4,1.4605556E-4
ID00021,1.4605556E-4,8.884556E-4,4.8655554E-4,0.0011563889,1,6.734444E-4,2.1501118E-4
ID00054,2.1501118E-4,0.004151022,0.0022700555,0.005405,3,0.003144889,0.0010061332
ID00024,0.0010061332,0.003856578,0.0021089443,0.0050216666,1,0.0029193333,9.372446E-4
ID00022,9.372446E-4,5.1222223E-6,3.2222222E-6,6.388889E-6,1,3.2222222E-6,1.9000001E-6
ID00052,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,3,3.2222222E-6,1.9000001E-6
ID00055,1.9000001E-6,9.7933334E-5,5.3166666E-5,1.2777778E-4,3,7.411111E-5,2.3822227E-5
ID00025,2.3822227E-5,9.7933334E-5,5.3166666E-5,1.2777778E-4,1,7.411111E-5,2.3822227E-5
ID00056,2.3822227E-5,1.9844445E-5,1.1277778E-5,2.5555555E-5,3,1.6111111E-5,3.7333339E-6
ID00026,3.7333339E-6,1.9844445E-5,1.1277778E-5,2.5555555E-5,1,1.6111111E-5,3.7333339E-6
ID00053,3.7333339E-6,1.92E-5,9.666666E-6,2.5555555E-5,3,1.2888889E-5,6.311112E-6
ID00023,6.311112E-6,1.4722222E-5,8.055556E-6,1.9166666E-5,1,1.2888889E-5,1.833333E-6
ID00036,1.833333E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,17,6.4444444E-6,2.5111108E-6
ID00038,2.5111108E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,19,6.4444444E-6,2.5111108E-6
ID00003,2.5111108E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,21,6.4444444E-6,2.5111108E-6
ID00037,2.5111108E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,23,6.4444444E-6,2.5111108E-6
ID00011,2.5111108E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,25,6.4444444E-6,2.5111108E-6
ID00040,2.5111108E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,28,3.2222222E-6,1.9333331E-6
ID00015,1.9333331E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,31,3.2222222E-6,1.9333331E-6
ID00032,1.9333331E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,34,3.2222222E-6,1.9333331E-6
ID00033,1.9333331E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,37,3.2222222E-6,1.9333331E-6
ID00006,1.9333331E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,40,3.2222222E-6,1.9333331E-6
ID00046,1.9333331E-6,5.1555553E-6,3.2222222E-6,6.4444444E-6,43,3.2222222E-6,1.9333331E-6
ID00030,1.9333331E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,45,3.2222222E-6,1.9000001E-6
ID00045,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,47,3.2222222E-6,1.9000001E-6
ID00016,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,49,3.2222222E-6,1.9000001E-6
ID00041,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,51,3.2222222E-6,1.9000001E-6
ID00014,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,53,3.2222222E-6,1.9000001E-6
ID00009,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,55,3.2222222E-6,1.9000001E-6
ID00010,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,57,3.2222222E-6,1.9000001E-6
ID00031,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,59,3.2222222E-6,1.9000001E-6
ID00035,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,61,3.2222222E-6,1.9000001E-6
ID00004,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,63,3.2222222E-6,1.9000001E-6
ID00005,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,65,3.2222222E-6,1.9000001E-6
ID00008,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,67,3.2222222E-6,1.9000001E-6
ID00001,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,69,3.2222222E-6,1.9000001E-6
ID00043,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,71,3.2222222E-6,1.9000001E-6
ID00012,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,73,3.2222222E-6,1.9000001E-6
ID00013,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,75,3.2222222E-6,1.9000001E-6
ID00039,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,77,3.2222222E-6,1.9000001E-6
ID00044,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,79,3.2222222E-6,1.9000001E-6
ID00002,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,81,3.2222222E-6,1.9000001E-6
ID00029,1.9000001E-6,5.1222223E-6,3.2222222E-6,6.388889E-6,83,3.2222222E-6,1.9000001E-6
ID00007,1.9000001E-6,4.4777776E-6,1.6111111E-6,6.388889E-6,85,3.2222222E-6,1.2555554E-6
ID00042,1.2555554E-6,4.4777776E-6,1.6111111E-6,6.388889E-6,87,3.2222222E-6,1.2555554E-6
ID00034,1.2555554E-6,4.4777776E-6,1.6111111E-6,6.388889E-6,89,3.2222222E-6,1.2555554E-6
ID00000,1.2555554E-6,4.4777776E-6,1.6111111E-6,6.388889E-6,81,3.2222222E-6,1.2555554E-6
ID00028,1.2555554E-6,4.4777776E-6,1.6111111E-6,6.388889E-6,71,3.2222222E-6,1.2555554E-6
ID00057,1.2555554E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,3,6.4444444E-6,2.5111108E-6
ID00027,2.5111108E-6,8.955555E-6,3.2222222E-6,1.2777778E-5,1,6.4444444E-6,2.5111108E-6
